
2025/01/21 (05:11:49) | ===> btop++ v.1.4.0
2025/01/21 (05:11:49) | ERROR: Stall in Runner thread, restarting!
2025/01/21 (05:12:00) | ERROR: Stall in Runner thread, restarting!

2025/01/21 (05:25:16) | ===> btop++ v.1.4.0
2025/01/21 (05:25:16) | ERROR: Stall in Runner thread, restarting!

2025/01/30 (12:11:13) | ===> btop++ v.1.4.0
2025/01/30 (12:11:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/01/30 (12:11:13) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/02/03 (20:03:05) | ===> btop++ v.1.4.0
2025/02/03 (20:03:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/02/03 (20:03:05) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/02/05 (06:08:21) | ===> btop++ v.1.4.0
2025/02/05 (06:08:21) | WARNING: Failed to get disk/partition stats for mount "/home/mount/sda1" with statvfs error code: 107. Ignoring...
2025/02/05 (06:08:21) | WARNING: Failed to get disk/partition stats for mount "/home/mount/windows" with statvfs error code: 107. Ignoring...
2025/02/05 (06:08:21) | WARNING: Failed to get disk/partition stats for mount "/home/mount/stuff" with statvfs error code: 107. Ignoring...
2025/02/05 (06:08:21) | WARNING: Failed to get disk/partition stats for mount "/home/mount/sda2" with statvfs error code: 107. Ignoring...

2025/02/05 (06:10:14) | ===> btop++ v.1.4.0
2025/02/05 (06:10:14) | WARNING: Failed to get disk/partition stats for mount "/home/mount/sda1" with statvfs error code: 107. Ignoring...
2025/02/05 (06:10:14) | WARNING: Failed to get disk/partition stats for mount "/home/mount/windows" with statvfs error code: 107. Ignoring...
2025/02/05 (06:10:14) | WARNING: Failed to get disk/partition stats for mount "/home/mount/stuff" with statvfs error code: 107. Ignoring...
2025/02/05 (06:10:14) | WARNING: Failed to get disk/partition stats for mount "/home/mount/sda2" with statvfs error code: 107. Ignoring...

2025/02/05 (06:10:18) | ===> btop++ v.1.4.0
2025/02/05 (06:10:18) | WARNING: Failed to get disk/partition stats for mount "/home/mount/sda1" with statvfs error code: 107. Ignoring...
2025/02/05 (06:10:18) | WARNING: Failed to get disk/partition stats for mount "/home/mount/windows" with statvfs error code: 107. Ignoring...
2025/02/05 (06:10:18) | WARNING: Failed to get disk/partition stats for mount "/home/mount/stuff" with statvfs error code: 107. Ignoring...
2025/02/05 (06:10:18) | WARNING: Failed to get disk/partition stats for mount "/home/mount/sda2" with statvfs error code: 107. Ignoring...
